NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<CA0S<<<048|FA
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<802A<<<058|FB
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<GF02<<<068|FC
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<24FG<<<078|FD
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<8CWW<<<088|FE
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<624V<<<098|FF
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<89DA<<<059|FG
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<C88A<<<069|FH
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<982L<<<079|FJ
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<A34G<<<048|FK
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<2COZ<<<058|FL
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<29AB<<<068|FQ
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<3F6C<<<078|FP
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<V36M<<<088|FO
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<62CV<<<098|FI
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<CBB9<<<059|FU
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<0M99<<<069|FY
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<CLS9<<<079|FT
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<CA0C<<<089|FR
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<2COD<<<099|FX
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<2SAC<<<000|FV
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<3FSC<<<010|FN
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<8CWC<<<011|FM
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<AS3A<<<012|F1
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<C0B9<<<013|F2
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<000A<<<014|F3
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<CLS1<<<015|F4
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<CA0A<<<016|F5
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<2CFI<<<017|F6
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<2S6C<<<018|F7
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<356M<<<019|F8
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<ABXS<<<001|F9
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<ASJA<<<002|F0
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<50B9<<<003|00
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<0M0A<<<004|01
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<CVV0<<<005|02
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<CA0V<<<006|03
NAMHAHIGHSCHOOL<<TRAIXUAN_24_0A02<<29AF<<<007|04
